CONTAINER ID   IMAGE                             COMMAND                  CREATED              STATUS              PORTS                                                             NAMES
93a45a90b8e0   task3-apollo-gateway              "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                       task3-apollo-gateway
2c7dd725868b   task3-booking-subgraph            "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp                       task3-booking-subgraph
0d43cbbb5517   task3-hotel-subgraph              "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp                       task3-hotel-subgraph
76edb7062c25   task3-promocode-subgraph          "docker-entrypoint.s…"   About a minute ago   Up About a minute   0.0.0.0:4003->4003/tcp, [::]:4003->4003/tcp                       task3-promocode-subgraph
48b7e1088cb2   task2-monolith                    "java -jar app.jar"      22 minutes ago       Up 21 minutes       0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                       hotelio-monolith
283cb0944df2   task2-booking-service             "java -jar app.jar"      22 minutes ago       Up 21 minutes       0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp                       hotelio-booking-service
368de4bbcf98   task2-booking-history-service     "java -jar app.jar"      22 minutes ago       Up 21 minutes       0.0.0.0:8082->8082/tcp, [::]:8082->8082/tcp                       hotelio-booking-history-service
44c4e3d239bc   postgres:15                       "docker-entrypoint.s…"   22 minutes ago       Up 21 minutes       0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                       hotelio-db
601b22bc505e   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   22 minutes ago       Up 21 minutes       0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                       hotelio-kafka
ea8f62bbd2fa   postgres:15                       "docker-entrypoint.s…"   22 minutes ago       Up 22 minutes       0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                       hotelio-booking-db
a0e50d8d3c9d   postgres:15                       "docker-entrypoint.s…"   22 minutes ago       Up 21 minutes       0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                       hotelio-booking-history-db
dfa8aab2fa79   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   22 minutes ago       Up 22 minutes       2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp   hotelio-zookeeper
